UserID,Date,TimeSpentSeconds,Device,VisitFrequency,ProductType,ProductDescription
16,2021-01-04 07:00:00,155,Mobile,13,Jewelry, Necklace
17,2021-01-04 08:00:00,319,Mobile,3,Heels, Stiletto Heels
17,2021-01-04 09:00:00,34,Tablet,6,Suits, Casual Suit
17,2021-01-04 10:00:00,545,Mobile,12,Shorts, Cargo Shorts
17,2021-01-04 11:00:00,370,Desktop,14,Swimwear, Swim Trunks
17,2021-01-04 12:00:00,332,Desktop,12,Shorts, Bermuda Shorts
18,2021-01-04 13:00:00,364,Desktop,5,Watches, Analog Watch
18,2021-01-04 14:00:00,206,Tablet,5,Skincare, Face Mask
18,2021-01-04 15:00:00,160,Desktop,4,Sweaters, Cable Knit Sweater
18,2021-01-04 16:00:00,266,Desktop,10,Swimwear, Swim Shirt
18,2021-01-04 17:00:00,468,Desktop,5,Jewelry, Ring
19,2021-01-04 18:00:00,222,Mobile,7,Swimwear, Board Shorts
19,2021-01-04 19:00:00,314,Mobile,12,Shorts, Chino Shorts
19,2021-01-04 20:00:00,535,Mobile,17,Sunglasses, Square Sunglasses
19,2021-01-04 21:00:00,76,Desktop,7,Shirts, Printed Shirt
19,2021-01-04 22:00:00,66,Desktop,19,Makeup, Eyeshadow
20,2021-01-04 23:00:00,594,Desktop,19,Hoodies, Athletic Hoodie
20,2021-01-05 00:00:00,117,Desktop,18,Swimwear, Rash Guard
20,2021-01-05 01:00:00,119,Mobile,2,Hats, Trucker Hat
20,2021-01-05 02:00:00,96,Mobile,16,Skincare, Cleanser
20,2021-01-05 03:00:00,511,Tablet,16,Heels, Block Heels
21,2021-01-05 04:00:00,149,Mobile,18,Shirts, Striped Shirt
21,2021-01-05 05:00:00,404,Desktop,18,Swimwear, Swim Trunks
21,2021-01-05 06:00:00,531,Desktop,9,Makeup, Concealer
21,2021-01-05 07:00:00,119,Tablet,9,Suits, Tuxedo
21,2021-01-05 08:00:00,320,Desktop,6,Suits, Casual Suit
22,2021-01-05 09:00:00,304,Mobile,7,Shorts, Bermuda Shorts
22,2021-01-05 10:00:00,482,Desktop,13,Hoodies, Pullover Hoodie
22,2021-01-05 11:00:00,376,Mobile,7,Belts, Studded Belt
22,2021-01-05 12:00:00,9,Desktop,15,Shorts, Athletic Shorts
22,2021-01-05 13:00:00,106,Tablet,8,Bags, Crossbody Bag
23,2021-01-05 14:00:00,325,Tablet,9,Shorts, Chino Shorts
23,2021-01-05 15:00:00,315,Mobile,11,Sunglasses, Wayfarer Sunglasses
23,2021-01-05 16:00:00,72,Mobile,19,Belts, Canvas Belt
23,2021-01-05 17:00:00,103,Mobile,19,Jeans, Straight Jeans
23,2021-01-05 18:00:00,519,Desktop,14,Backpacks, Travel Backpack
24,2021-01-05 19:00:00,220,Desktop,3,Scarves, Plaid Scarf
24,2021-01-05 20:00:00,158,Mobile,18,Backpacks, Travel Backpack
24,2021-01-05 21:00:00,53,Desktop,7,Suits, Casual Suit
24,2021-01-05 22:00:00,538,Desktop,17,Suits, Double-Breasted Suit
24,2021-01-05 23:00:00,250,Desktop,7,Sweaters, Turtleneck Sweater
25,2021-01-06 00:00:00,171,Mobile,8,T-Shirts, V-Neck T-Shirt
25,2021-01-06 01:00:00,375,Desktop,16,Suits, Double-Breasted Suit
25,2021-01-06 02:00:00,16,Mobile,11,Belts, Studded Belt
25,2021-01-06 03:00:00,373,Desktop,14,Watches, Dress Watch
25,2021-01-06 04:00:00,248,Desktop,12,Boots, Chelsea Boots
26,2021-01-06 05:00:00,491,Desktop,16,Backpacks, Travel Backpack
26,2021-01-06 06:00:00,210,Desktop,8,Shorts, Denim Shorts
26,2021-01-06 07:00:00,478,Mobile,8,Bags, Crossbody Bag
26,2021-01-06 08:00:00,109,Mobile,8,Shorts, Chino Shorts
26,2021-01-06 09:00:00,170,Desktop,17,Jackets, Blazer
27,2021-01-06 10:00:00,542,Desktop,7,Shirts, Printed Shirt
27,2021-01-06 11:00:00,395,Tablet,6,Dresses, Evening Dress
27,2021-01-06 12:00:00,499,Desktop,3,Jackets, Bomber Jacket
27,2021-01-06 13:00:00,264,Desktop,16,Sneakers, Running Shoes
27,2021-01-06 14:00:00,161,Desktop,1,Jeans, Bootcut Jeans
28,2021-01-06 15:00:00,88,Desktop,1,Ties, Bowtie
28,2021-01-06 16:00:00,533,Tablet,15,T-Shirts, V-Neck T-Shirt
28,2021-01-06 17:00:00,429,Desktop,6,Suits, Business Suit
28,2021-01-06 18:00:00,527,Tablet,13,Makeup, Foundation
28,2021-01-06 19:00:00,171,Mobile,8,Backpacks, Hiking Backpack
29,2021-01-06 20:00:00,280,Desktop,12,Swimwear, Rash Guard
29,2021-01-06 21:00:00,591,Mobile,8,Makeup, Blush
29,2021-01-06 22:00:00,161,Mobile,4,Swimwear, Rash Guard
29,2021-01-06 23:00:00,124,Mobile,9,T-Shirts, V-Neck T-Shirt
29,2021-01-07 00:00:00,240,Mobile,3,Pants, Cargo Pants
30,2021-01-07 01:00:00,92,Tablet,8,Makeup, Concealer
30,2021-01-07 02:00:00,342,Mobile,13,Heels, Block Heels
30,2021-01-07 03:00:00,283,Mobile,4,Sneakers, Running Shoes
30,2021-01-07 04:00:00,420,Desktop,14,Backpacks, Travel Backpack
30,2021-01-07 05:00:00,295,Tablet,1,Bags, Clutch Bag
31,2021-01-07 06:00:00,425,Desktop,11,Ties, Skinny Tie
31,2021-01-07 07:00:00,425,Mobile,9,Boots, Chelsea Boots
31,2021-01-07 08:00:00,596,Mobile,18,T-Shirts, Graphic T-Shirt
31,2021-01-07 09:00:00,261,Desktop,1,Heels, Ankle-strap Heels
31,2021-01-07 10:00:00,335,Mobile,19,Dresses, Summer Dress
32,2021-01-07 11:00:00,43,Desktop,9,Shorts, Cargo Shorts
32,2021-01-07 12:00:00,141,Mobile,8,Suits, Casual Suit
32,2021-01-07 13:00:00,496,Desktop,14,Gloves, Wool Gloves
32,2021-01-07 14:00:00,575,Mobile,13,Sweaters, Cable Knit Sweater
32,2021-01-07 15:00:00,165,Tablet,15,Swimwear, Rash Guard
33,2021-01-07 16:00:00,366,Mobile,19,Jackets, Denim Jacket
33,2021-01-07 17:00:00,258,Desktop,17,Dresses, Summer Dress
33,2021-01-07 18:00:00,499,Mobile,16,Skincare, Eye Cream
33,2021-01-07 19:00:00,460,Tablet,8,Jeans, High-rise Jeans
33,2021-01-07 20:00:00,571,Desktop,17,Suits, Casual Suit
34,2021-01-07 21:00:00,471,Mobile,4,Pants, Dress Pants
34,2021-01-07 22:00:00,280,Mobile,14,Hoodies, Zip-Up Hoodie
34,2021-01-07 23:00:00,33,Mobile,9,Ties, Woven Tie
34,2021-01-08 00:00:00,260,Mobile,12,Gloves, Wool Gloves
34,2021-01-08 01:00:00,273,Desktop,6,Sandals, Flat Sandals
35,2021-01-08 02:00:00,547,Tablet,13,Sweaters, Crewneck Sweater
35,2021-01-08 03:00:00,126,Desktop,2,Boots, Hiking Boots
35,2021-01-08 04:00:00,59,Desktop,15,Jewelry, Anklet
35,2021-01-08 05:00:00,442,Mobile,19,Sneakers, Classic Sneakers
35,2021-01-08 06:00:00,552,Mobile,7,Hats, Wide Brim Hat
36,2021-01-08 07:00:00,236,Desktop,14,Shorts, Cargo Shorts
36,2021-01-08 08:00:00,6,Desktop,6,Shirts, Graphic Shirt
36,2021-01-08 09:00:00,72,Desktop,15,Makeup, Mascara
36,2021-01-08 10:00:00,247,Desktop,8,Sneakers, Classic Sneakers
36,2021-01-08 11:00:00,517,Mobile,1,Heels, Ankle-strap Heels
37,2021-01-08 12:00:00,518,Tablet,2,Heels, Wedge Heels
37,2021-01-08 13:00:00,258,Desktop,5,Boots, Chelsea Boots
37,2021-01-08 14:00:00,53,Mobile,7,Accessories, Cufflinks
37,2021-01-08 15:00:00,542,Desktop,14,Sneakers, Canvas Sneakers
37,2021-01-08 16:00:00,429,Mobile,7,Swimwear, Swim Trunks
38,2021-01-08 17:00:00,581,Mobile,3,Boots, Ankle Boots
38,2021-01-08 18:00:00,515,Mobile,10,Scarves, Silk Scarf
38,2021-01-08 19:00:00,535,Mobile,1,Jackets, Blazer
38,2021-01-08 20:00:00,584,Mobile,1,Jeans, Distressed Jeans
38,2021-01-08 21:00:00,166,Mobile,13,T-Shirts, Graphic T-Shirt
39,2021-01-08 22:00:00,587,Mobile,10,Shorts, Bermuda Shorts
39,2021-01-08 23:00:00,199,Mobile,18,Shirts, Striped Shirt
39,2021-01-09 00:00:00,183,Mobile,4,Sunglasses, Cat-Eye Sunglasses
39,2021-01-09 01:00:00,417,Desktop,15,T-Shirts, Plain T-Shirt
39,2021-01-09 02:00:00,79,Desktop,16,Bags, Clutch Bag
40,2021-01-09 03:00:00,415,Mobile,16,T-Shirts, Striped T-Shirt
40,2021-01-09 04:00:00,300,Tablet,3,Sweaters, Turtleneck Sweater
40,2021-01-09 05:00:00,53,Desktop,12,Sneakers, Skate Shoes
40,2021-01-09 06:00:00,171,Mobile,7,Scarves, Fringe Scarf
40,2021-01-09 07:00:00,479,Tablet,3,Accessories, Bowtie
41,2021-01-09 08:00:00,93,Desktop,6,Watches, Sports Watch
41,2021-01-09 09:00:00,244,Desktop,15,Jeans, High-rise Jeans
41,2021-01-09 10:00:00,443,Desktop,17,Makeup, Mascara
41,2021-01-09 11:00:00,59,Mobile,9,Jackets, Blazer
41,2021-01-09 12:00:00,584,Desktop,4,Jewelry, Ring
42,2021-01-09 13:00:00,273,Desktop,3,Jewelry, Earrings
42,2021-01-09 14:00:00,120,Desktop,10,Jewelry, Necklace
42,2021-01-09 15:00:00,112,Mobile,19,T-Shirts, Graphic T-Shirt
42,2021-01-09 16:00:00,159,Desktop,11,Jackets, Bomber Jacket
42,2021-01-09 17:00:00,168,Mobile,17,Pants, Cargo Pants
43,2021-01-09 18:00:00,430,Desktop,1,Jeans, Straight Jeans
43,2021-01-09 19:00:00,482,Desktop,12,Jewelry, Necklace
43,2021-01-09 20:00:00,114,Mobile,16,Boots, Hiking Boots
43,2021-01-09 21:00:00,120,Mobile,7,Bags, Crossbody Bag
43,2021-01-09 22:00:00,226,Mobile,7,Pants, Track Pants
44,2021-01-09 23:00:00,19,Desktop,12,Makeup, Concealer
44,2021-01-10 00:00:00,335,Mobile,10,Makeup, Concealer
44,2021-01-10 01:00:00,79,Tablet,9,Jewelry, Bracelet
44,2021-01-10 02:00:00,399,Desktop,4,Watches, Sports Watch
44,2021-01-10 03:00:00,332,Tablet,9,Boots, Chelsea Boots
45,2021-01-10 04:00:00,482,Desktop,10,Hats, Trucker Hat
45,2021-01-10 05:00:00,230,Mobile,2,Bags, Crossbody Bag
45,2021-01-10 06:00:00,206,Mobile,1,Dresses, Summer Dress
45,2021-01-10 07:00:00,13,Mobile,8,Gloves, Touchscreen Gloves
45,2021-01-10 08:00:00,312,Mobile,13,Skincare, Cleanser
46,2021-01-10 09:00:00,584,Desktop,8,Skincare, Serum
46,2021-01-10 10:00:00,373,Mobile,5,Belts, Webbed Belt
46,2021-01-10 11:00:00,247,Tablet,13,Shirts, Graphic Shirt
46,2021-01-10 12:00:00,298,Desktop,15,Makeup, Mascara
46,2021-01-10 13:00:00,319,Desktop,10,Swimwear, Swim Briefs
47,2021-01-10 14:00:00,293,Desktop,19,Heels, Stiletto Heels
47,2021-01-10 15:00:00,582,Mobile,19,Bags, Satchel Bag
47,2021-01-10 16:00:00,557,Mobile,17,Sandals, Gladiator Sandals
47,2021-01-10 17:00:00,9,Desktop,17,Backpacks, Travel Backpack
47,2021-01-10 18:00:00,305,Desktop,17,Gloves, Wool Gloves
48,2021-01-10 19:00:00,136,Desktop,3,Ties, Skinny Tie
48,2021-01-10 20:00:00,388,Mobile,5,Pants, Track Pants
48,2021-01-10 21:00:00,234,Desktop,15,Belts, Leather Belt
48,2021-01-10 22:00:00,224,Mobile,12,Sweaters, V-Neck Sweater
48,2021-01-10 23:00:00,567,Mobile,19,Jeans, Skinny Jeans
49,2021-01-11 00:00:00,126,Desktop,9,Hats, Beanie
49,2021-01-11 01:00:00,38,Mobile,9,Watches, Dress Watch
49,2021-01-11 02:00:00,179,Desktop,12,Belts, Leather Belt
49,2021-01-11 03:00:00,500,Desktop,5,Makeup, Eyeshadow
49,2021-01-11 04:00:00,448,Mobile,19,Shirts, Formal Shirt
50,2021-01-11 05:00:00,200,Desktop,15,Backpacks, Travel Backpack
50,2021-01-11 06:00:00,26,Mobile,16,Swimwear, Board Shorts
50,2021-01-11 07:00:00,400,Desktop,9,Gloves, Leather Gloves
50,2021-01-11 08:00:00,294,Mobile,4,Watches, Analog Watch
50,2021-01-11 09:00:00,381,Mobile,14,Jewelry, Ring
51,2021-01-11 10:00:00,412,Mobile,10,Watches, Smart Watch
51,2021-01-11 11:00:00,470,Mobile,12,Skincare, Cleanser
51,2021-01-11 12:00:00,308,Mobile,9,Sunglasses, Wayfarer Sunglasses
51,2021-01-11 13:00:00,60,Desktop,2,Sunglasses, Cat-Eye Sunglasses
51,2021-01-11 14:00:00,468,Mobile,15,Heels, Block Heels
52,2021-01-11 15:00:00,418,Mobile,8,Jackets, Bomber Jacket
52,2021-01-11 16:00:00,106,Tablet,16,T-Shirts, Pocket T-Shirt
52,2021-01-11 17:00:00,524,Tablet,17,Jewelry, Earrings
52,2021-01-11 18:00:00,59,Desktop,3,Hoodies, Fleece Hoodie
52,2021-01-11 19:00:00,37,Desktop,8,Bags, Satchel Bag
53,2021-01-11 20:00:00,460,Desktop,18,Jackets, Windbreaker
53,2021-01-11 21:00:00,337,Mobile,1,Jeans, Straight Jeans
53,2021-01-11 22:00:00,302,Tablet,6,Sandals, Wedge Sandals
53,2021-01-11 23:00:00,540,Mobile,10,Dresses, Summer Dress
53,2021-01-12 00:00:00,338,Desktop,18,Scarves, Infinity Scarf
54,2021-01-12 01:00:00,407,Desktop,18,Swimwear, Swim Shirt
54,2021-01-12 02:00:00,434,Desktop,8,Scarves, Infinity Scarf
54,2021-01-12 03:00:00,100,Mobile,2,Sweaters, V-Neck Sweater
54,2021-01-12 04:00:00,458,Mobile,4,Belts, Leather Belt
54,2021-01-12 05:00:00,357,Desktop,19,Swimwear, Swim Shirt
55,2021-01-12 06:00:00,404,Mobile,18,Skincare, Cleanser
55,2021-01-12 07:00:00,325,Mobile,2,T-Shirts, Striped T-Shirt
55,2021-01-12 08:00:00,348,Desktop,12,Pants, Chinos
55,2021-01-12 09:00:00,302,Desktop,6,Sunglasses, Square Sunglasses
55,2021-01-12 10:00:00,55,Mobile,9,Accessories, Bowtie
56,2021-01-12 11:00:00,262,Mobile,10,Pants, Chinos
56,2021-01-12 12:00:00,348,Desktop,11,Shirts, Formal Shirt
56,2021-01-12 13:00:00,441,Tablet,15,Hats, Baseball Cap
56,2021-01-12 14:00:00,416,Desktop,6,Backpacks, Hiking Backpack
56,2021-01-12 15:00:00,463,Desktop,19,Bags, Crossbody Bag
57,2021-01-12 16:00:00,426,Desktop,3,Dresses, Cocktail Dress
57,2021-01-12 17:00:00,553,Mobile,5,Watches, Smart Watch
57,2021-01-12 18:00:00,245,Mobile,4,Jewelry, Necklace
57,2021-01-12 19:00:00,351,Tablet,1,Hoodies, Athletic Hoodie
57,2021-01-12 20:00:00,497,Tablet,7,Shirts, Formal Shirt
58,2021-01-12 21:00:00,478,Tablet,6,Shorts, Denim Shorts
58,2021-01-12 22:00:00,233,Desktop,14,Boots, Combat Boots
58,2021-01-12 23:00:00,434,Desktop,1,Gloves, Driving Gloves
58,2021-01-13 00:00:00,306,Desktop,6,Shirts, Striped Shirt
58,2021-01-13 01:00:00,142,Tablet,16,Jewelry, Earrings
59,2021-01-13 02:00:00,224,Mobile,15,Sandals, Wedge Sandals
59,2021-01-13 03:00:00,541,Desktop,12,T-Shirts, Graphic T-Shirt
59,2021-01-13 04:00:00,562,Desktop,9,Backpacks, Travel Backpack
59,2021-01-13 05:00:00,469,Mobile,7,Belts, Canvas Belt
59,2021-01-13 06:00:00,274,Mobile,15,Jewelry, Earrings
60,2021-01-13 07:00:00,296,Desktop,2,Backpacks, Daypack
60,2021-01-13 08:00:00,362,Desktop,11,Swimwear, Board Shorts
60,2021-01-13 09:00:00,5,Desktop,8,Swimwear, Swim Briefs
60,2021-01-13 10:00:00,292,Mobile,12,Jewelry, Necklace
60,2021-01-13 11:00:00,393,Tablet,10,Belts, Canvas Belt
61,2021-01-13 12:00:00,20,Mobile,17,Jackets, Leather Jacket
61,2021-01-13 13:00:00,50,Mobile,7,Heels, Block Heels
61,2021-01-13 14:00:00,523,Mobile,4,Jewelry, Ring
61,2021-01-13 15:00:00,450,Desktop,11,Gloves, Wool Gloves
61,2021-01-13 16:00:00,311,Mobile,14,Hoodies, Pullover Hoodie
62,2021-01-13 17:00:00,11,Desktop,5,Scarves, Infinity Scarf
62,2021-01-13 18:00:00,246,Mobile,18,Shorts, Cargo Shorts
62,2021-01-13 19:00:00,111,Desktop,12,Belts, Studded Belt
62,2021-01-13 20:00:00,233,Mobile,5,Swimwear, Swim Trunks
62,2021-01-13 21:00:00,250,Desktop,14,Ties, Woven Tie
63,2021-01-13 22:00:00,184,Mobile,13,Shorts, Denim Shorts
63,2021-01-13 23:00:00,235,Mobile,5,Swimwear, Board Shorts
63,2021-01-14 00:00:00,105,Desktop,6,Backpacks, Daypack
63,2021-01-14 01:00:00,207,Mobile,12,Sunglasses, Round Sunglasses
63,2021-01-14 02:00:00,148,Mobile,6,Swimwear, Rash Guard
64,2021-01-14 03:00:00,491,Mobile,15,Bags, Crossbody Bag
64,2021-01-14 04:00:00,236,Mobile,16,T-Shirts, Striped T-Shirt
64,2021-01-14 05:00:00,186,Desktop,4,Accessories, Cufflinks
64,2021-01-14 06:00:00,223,Desktop,1,Shirts, Printed Shirt
64,2021-01-14 07:00:00,477,Mobile,7,Ties, Bowtie
65,2021-01-14 08:00:00,343,Tablet,11,Gloves, Touchscreen Gloves
65,2021-01-14 09:00:00,334,Desktop,15,Hoodies, Athletic Hoodie
65,2021-01-14 10:00:00,25,Mobile,7,Dresses, Maxi Dress
65,2021-01-14 11:00:00,491,Desktop,6,Dresses, Maxi Dress
65,2021-01-14 12:00:00,302,Mobile,4,Dresses, Maxi Dress
66,2021-01-14 13:00:00,98,Desktop,9,Shirts, Printed Shirt
66,2021-01-14 14:00:00,566,Mobile,9,Jackets, Bomber Jacket
66,2021-01-14 15:00:00,404,Desktop,17,Skincare, Face Mask
66,2021-01-14 16:00:00,169,Mobile,1,Shirts, Striped Shirt
66,2021-01-14 17:00:00,264,Desktop,9,Accessories, Pocket Square
67,2021-01-14 18:00:00,101,Mobile,16,Boots, Knee-high Boots
67,2021-01-14 19:00:00,130,Desktop,8,Boots, Ankle Boots
67,2021-01-14 20:00:00,567,Mobile,6,T-Shirts, Graphic T-Shirt
67,2021-01-14 21:00:00,237,Mobile,10,Shorts, Cargo Shorts
67,2021-01-14 22:00:00,183,Mobile,7,Ties, Woven Tie
68,2021-01-14 23:00:00,296,Desktop,3,Pants, Jeans
68,2021-01-15 00:00:00,512,Mobile,6,Bags, Clutch Bag
68,2021-01-15 01:00:00,581,Desktop,2,Pants, Jeans
68,2021-01-15 02:00:00,537,Tablet,18,Belts, Canvas Belt
68,2021-01-15 03:00:00,563,Desktop,3,Watches, Analog Watch
69,2021-01-15 04:00:00,128,Desktop,15,Ties, Skinny Tie
69,2021-01-15 05:00:00,214,Desktop,5,Backpacks, Canvas Backpack
69,2021-01-15 06:00:00,68,Desktop,8,Skincare, Cleanser
69,2021-01-15 07:00:00,425,Mobile,18,Sandals, Gladiator Sandals
69,2021-01-15 08:00:00,488,Desktop,6,Watches, Analog Watch
70,2021-01-15 09:00:00,23,Mobile,5,Jackets, Leather Jacket
70,2021-01-15 10:00:00,495,Tablet,1,Swimwear, Swim Briefs
70,2021-01-15 11:00:00,290,Tablet,5,T-Shirts, Pocket T-Shirt
70,2021-01-15 12:00:00,30,Mobile,1,Scarves, Infinity Scarf
70,2021-01-15 13:00:00,168,Mobile,13,Sweaters, Cable Knit Sweater
71,2021-01-15 14:00:00,136,Mobile,9,Sandals, Slide Sandals
71,2021-01-15 15:00:00,258,Mobile,8,Swimwear, Swim Shirt
71,2021-01-15 16:00:00,58,Mobile,12,Jewelry, Necklace
71,2021-01-15 17:00:00,348,Desktop,3,Bags, Clutch Bag
71,2021-01-15 18:00:00,569,Mobile,18,Scarves, Silk Scarf
72,2021-01-15 19:00:00,87,Desktop,1,Ties, Bowtie
72,2021-01-15 20:00:00,10,Mobile,6,Jeans, High-rise Jeans
72,2021-01-15 21:00:00,542,Desktop,3,Accessories, Pocket Square
72,2021-01-15 22:00:00,19,Mobile,17,T-Shirts, Plain T-Shirt
72,2021-01-15 23:00:00,405,Desktop,18,Shorts, Bermuda Shorts
73,2021-01-16 00:00:00,281,Desktop,15,Sweaters, Cardigan
73,2021-01-16 01:00:00,300,Mobile,14,Boots, Ankle Boots
73,2021-01-16 02:00:00,253,Mobile,17,Scarves, Plaid Scarf
73,2021-01-16 03:00:00,238,Mobile,3,Dresses, Evening Dress
73,2021-01-16 04:00:00,508,Desktop,6,Shirts, Graphic Shirt
74,2021-01-16 05:00:00,388,Mobile,16,Jeans, High-rise Jeans
74,2021-01-16 06:00:00,477,Tablet,19,Sweaters, Crewneck Sweater
74,2021-01-16 07:00:00,546,Desktop,7,Heels, Block Heels
74,2021-01-16 08:00:00,231,Tablet,10,Gloves, Driving Gloves
74,2021-01-16 09:00:00,520,Mobile,17,Watches, Analog Watch
75,2021-01-16 10:00:00,14,Mobile,17,Backpacks, Daypack
75,2021-01-16 11:00:00,107,Desktop,12,Hats, Baseball Cap
75,2021-01-16 12:00:00,141,Desktop,6,Jeans, Skinny Jeans
75,2021-01-16 13:00:00,263,Mobile,19,Suits, Business Suit
75,2021-01-16 14:00:00,555,Tablet,16,Bags, Crossbody Bag
